Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,166.520004,167.690002,165.479996,167.580002,167.198486,3769300
2021-12-28,167.800003,168.250000,166.300003,166.419998,166.041122,2658600
2021-12-29,167.070007,169.800003,166.600006,168.779999,168.395737,3830900
2021-12-30,168.309998,170.119995,167.199997,167.490005,167.108688,2666800
2021-12-31,167.559998,167.720001,166.210007,166.669998,166.290543,2752000
2022-01-03,167.529999,167.910004,163.309998,164.669998,164.295105,5670500
2022-01-04,165.880005,167.179993,165.000000,166.389999,166.011185,6064200
2022-01-05,166.490005,167.009995,162.100006,162.250000,161.880615,5021000
2022-01-06,162.089996,163.190002,159.059998,161.039993,160.673355,4144600
2022-01-07,160.770004,161.139999,156.860001,156.970001,156.612640,5108000
2022-01-10,150.520004,151.330002,148.779999,150.440002,150.097504,10439000
2022-01-11,150.479996,150.839996,147.600006,150.300003,149.957825,8175400
2022-01-12,152.130005,153.460007,150.740005,152.210007,151.863480,6351200
2022-01-13,153.199997,153.600006,149.020004,149.589996,149.249435,4990900
2022-01-14,148.389999,148.839996,146.850006,148.179993,147.842636,6030500
2022-01-18,148.059998,148.830002,146.300003,146.949997,146.615448,6931000
2022-01-19,147.759995,149.100006,145.020004,145.110001,144.779633,4823800
2022-01-20,145.460007,147.380005,142.500000,142.729996,142.405045,5366500
2022-01-21,144.320007,146.360001,142.850006,142.949997,142.624542,7553400
2022-01-24,140.809998,146.309998,139.559998,146.000000,145.667603,9733200
2022-01-25,144.970001,147.960007,142.509995,145.479996,145.148788,8195400
2022-01-26,147.779999,148.970001,142.729996,143.990005,143.662186,7444600
2022-01-27,144.990005,147.350006,143.580002,144.639999,144.310699,6396400
2022-01-28,144.119995,146.029999,140.610001,145.910004,145.577820,6130200
2022-01-31,146.270004,148.179993,145.220001,148.070007,147.732895,6932200
2022-02-01,149.500000,149.679993,146.800003,148.220001,147.882553,6695000
2022-02-02,148.350006,149.460007,147.529999,148.710007,148.371445,5491700
2022-02-03,147.399994,148.460007,144.970001,145.309998,144.979172,5240200
2022-02-04,145.369995,146.479996,143.639999,145.389999,145.058990,4313400
2022-02-07,145.300003,146.119995,144.220001,145.139999,144.809570,3877500
2022-02-08,144.740005,145.500000,142.300003,143.529999,143.203232,5829400
2022-02-09,146.110001,147.360001,145.669998,146.259995,145.927017,4551000
2022-02-10,143.960007,147.539993,143.850006,144.820007,144.490295,5142600
2022-02-11,144.759995,145.059998,139.559998,140.179993,139.860855,6710500
2022-02-14,140.080002,143.210007,139.789993,141.589996,141.267639,6841200
2022-02-15,144.220001,146.320007,144.100006,145.580002,145.248566,7820200
2022-02-16,145.020004,146.949997,144.610001,146.490005,146.156494,4817500
2022-02-17,145.539993,146.910004,142.639999,142.800003,142.474899,5202300
2022-02-18,143.369995,143.940002,141.809998,142.949997,142.624542,5177400
2022-02-22,141.589996,141.639999,136.160004,138.190002,137.875397,9604500
2022-02-23,139.660004,140.970001,136.509995,136.830002,136.518494,7636600
2022-02-24,133.000000,137.419998,130.929993,137.169998,136.857712,8417200
2022-02-25,138.130005,139.220001,136.190002,138.800003,138.484009,5424500
2022-02-28,137.059998,138.380005,135.039993,136.550003,136.239120,6612700
2022-03-01,136.720001,136.750000,131.149994,132.220001,131.918976,6534000
2022-03-02,132.979996,136.610001,132.770004,135.679993,135.371094,7743900
2022-03-03,136.740005,136.800003,133.449997,133.970001,133.664993,4576500
2022-03-04,132.509995,133.619995,130.699997,131.179993,131.179993,7084500
2022-03-07,131.000000,131.029999,124.169998,124.440002,124.440002,11383400
2022-03-08,125.239998,125.470001,120.800003,121.209999,121.209999,9089400
2022-03-09,127.379997,129.649994,126.629997,126.949997,126.949997,8845100
2022-03-10,124.019997,126.599998,124.000000,126.029999,126.029999,7167400
2022-03-11,127.010002,127.870003,122.510002,122.629997,122.629997,5881600
2022-03-14,121.529999,122.449997,116.750000,117.570000,117.570000,13884900
2022-03-15,119.839996,120.419998,117.750000,119.400002,119.400002,10431300
2022-03-16,122.849998,126.110001,121.930000,125.190002,125.190002,11100400
2022-03-17,124.940002,127.410004,123.699997,127.410004,127.410004,6845300
2022-03-18,126.849998,131.460007,126.699997,131.240005,131.240005,10338700
2022-03-21,129.720001,132.309998,128.619995,130.190002,130.190002,14388500
2022-03-22,137.279999,139.000000,132.990005,133.089996,133.089996,19731200
2022-03-23,132.639999,135.399994,131.199997,133.000000,133.000000,8067400
