Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,3420.739990,3458.860107,3384.310059,3393.389893,3393.389893,2934400
2021-12-28,3403.649902,3443.520020,3382.709961,3413.219971,3413.219971,2731900
2021-12-29,3416.800049,3424.239990,3372.010010,3384.020020,3384.020020,1787700
2021-12-30,3394.000000,3417.760010,3370.479980,3372.889893,3372.889893,1879200
2021-12-31,3379.120117,3387.000000,3331.169922,3334.340088,3334.340088,2391500
2022-01-03,3351.000000,3414.070068,3323.209961,3408.090088,3408.090088,3176000
2022-01-04,3408.760010,3428.000000,3326.989990,3350.439941,3350.439941,3536300
2022-01-05,3337.659912,3342.530029,3287.139893,3287.139893,3287.139893,3215100
2022-01-06,3269.010010,3296.000000,3238.739990,3265.080078,3265.080078,2597900
2022-01-07,3276.780029,3304.870117,3240.620117,3251.080078,3251.080078,2330300
2022-01-10,3211.709961,3233.229980,3126.090088,3229.719971,3229.719971,4389900
2022-01-11,3230.000000,3327.000000,3214.030029,3307.239990,3307.239990,3140300
2022-01-12,3331.500000,3337.560059,3288.340088,3304.139893,3304.139893,2501500
2022-01-13,3305.010010,3324.429932,3221.820068,3224.280029,3224.280029,2609400
2022-01-14,3203.000000,3245.000000,3196.010010,3242.760010,3242.760010,2298700
2022-01-18,3182.100098,3194.689941,3153.290039,3178.350098,3178.350098,3364600
2022-01-19,3175.239990,3185.000000,3125.000000,3125.979980,3125.979980,2662100
2022-01-20,3135.320068,3160.000000,3027.020020,3033.350098,3033.350098,3598700
2022-01-21,2999.000000,3018.000000,2841.409912,2852.860107,2852.860107,8198600
2022-01-24,2780.000000,2898.899902,2707.040039,2890.879883,2890.879883,7781200
2022-01-25,2844.850098,2872.000000,2762.899902,2799.719971,2799.719971,4541200
2022-01-26,2895.000000,2903.699951,2746.370117,2777.449951,2777.449951,4780100
2022-01-27,2816.000000,2884.870117,2787.000000,2792.750000,2792.750000,3875800
2022-01-28,2817.209961,2879.959961,2758.590088,2879.560059,2879.560059,3719600
2022-01-31,2895.000000,3007.209961,2886.010010,2991.469971,2991.469971,3915400
2022-02-01,3000.000000,3034.159912,2952.550049,3023.870117,3023.870117,2961000
2022-02-02,3101.010010,3101.500000,2977.270020,3012.250000,3012.250000,4366500
2022-02-03,2834.750000,2884.949951,2766.659912,2776.909912,2776.909912,11276600
2022-02-04,3112.129883,3224.000000,3012.159912,3152.790039,3152.790039,12672800
2022-02-07,3170.399902,3253.820068,3145.000000,3158.709961,3158.709961,5131200
2022-02-08,3135.010010,3235.850098,3111.010010,3228.270020,3228.270020,3802000
2022-02-09,3257.469971,3276.689941,3205.000000,3223.790039,3223.790039,3439300
2022-02-10,3167.000000,3214.330078,3155.000000,3180.070068,3180.070068,3413400
2022-02-11,3162.689941,3180.000000,3054.679932,3065.870117,3065.870117,3855000
2022-02-14,3035.020020,3168.969971,3033.000000,3103.340088,3103.340088,4161500
2022-02-15,3152.110107,3160.139893,3092.750000,3130.209961,3130.209961,2822000
2022-02-16,3115.810059,3176.679932,3094.689941,3162.010010,3162.010010,2635200
2022-02-17,3162.919922,3206.979980,3090.000000,3093.050049,3093.050049,3201600
2022-02-18,3109.989990,3109.989990,3017.860107,3052.030029,3052.030029,3180200
2022-02-22,3009.570068,3059.649902,2969.709961,3003.949951,3003.949951,3306400
2022-02-23,3033.010010,3035.260010,2893.020020,2896.540039,2896.540039,3212200
2022-02-24,2796.750000,3034.979980,2790.000000,3027.159912,3027.159912,5039300
2022-02-25,3011.000000,3079.800049,2984.270020,3075.770020,3075.770020,3119800
2022-02-28,3048.500000,3089.000000,3017.000000,3071.260010,3071.260010,2878500
2022-03-01,3054.649902,3081.979980,2999.540039,3022.840088,3022.840088,2243700
2022-03-02,3016.979980,3059.989990,2975.000000,3041.050049,3041.050049,2366700
2022-03-03,3070.629883,3078.580078,2937.120117,2957.969971,2957.969971,3259900
2022-03-04,2943.179932,2957.000000,2876.139893,2912.820068,2912.820068,3046700
2022-03-07,2908.870117,2921.889893,2748.330078,2749.060059,2749.060059,4346700
2022-03-08,2733.669922,2813.989990,2671.449951,2720.290039,2720.290039,4583100
2022-03-09,2790.000000,2805.000000,2736.560059,2785.580078,2785.580078,4132800
2022-03-10,2913.699951,2973.489990,2879.560059,2936.350098,2936.350098,6753100
2022-03-11,2991.489990,2993.500000,2907.379883,2910.489990,2910.489990,3440500
2022-03-14,2919.620117,2949.000000,2817.679932,2837.060059,2837.060059,3704300
2022-03-15,2857.000000,2959.699951,2840.000000,2947.330078,2947.330078,3779200
2022-03-16,2970.000000,3063.000000,2947.070068,3062.080078,3062.080078,4247900
2022-03-17,3052.810059,3149.969971,3042.800049,3144.780029,3144.780029,3646700
2022-03-18,3136.260010,3231.879883,3120.219971,3225.010010,3225.010010,5141300
2022-03-21,3222.419922,3261.679932,3191.060059,3229.830078,3229.830078,3326900
2022-03-22,3236.110107,3323.340088,3233.979980,3297.780029,3297.780029,3204300
2022-03-23,3274.100098,3327.399902,3253.739990,3268.159912,3268.159912,2782000
